,address_full,price,count_beds,count_baths,sq_ft,days_on_zillow,address,city,state_zip,state_abrev,zip_code,date_scraped
682,"4005 Mt Moran Rd, Raleigh, NC 27616","$388,120",3,3,"1,924",1,4005 Mt Moran Rd, Raleigh,NC 27616,NC,27616,2022-12-03
683,"411 Sustainable Way, Raleigh, NC 27610","$514,990",3,3,"2,177",2,411 Sustainable Way, Raleigh,NC 27610,NC,27610,2022-12-03
684,"8817 Stage Ford Rd, Raleigh, NC 27615","$699,900",4,4,"3,990",1,8817 Stage Ford Rd, Raleigh,NC 27615,NC,27615,2022-12-03
685,"6320 Virgilia Ct, Raleigh, NC 27616","$449,000",3,3,"2,293",2,6320 Virgilia Ct, Raleigh,NC 27616,NC,27616,2022-12-03
686,"1220 Dixie Trl, Raleigh, NC 27607","$1,450,000",4,4,"3,385",2,1220 Dixie Trl, Raleigh,NC 27607,NC,27607,2022-12-03
687,"910 Tyrrell Rd, Raleigh, NC 27609","$1,995,000",4,4,"4,457",1,910 Tyrrell Rd, Raleigh,NC 27609,NC,27609,2022-12-03
688,"4317 Twin Rock Rd, Raleigh, NC 27616","$1,500,000",5,5,"3,848",2,4317 Twin Rock Rd, Raleigh,NC 27616,NC,27616,2022-12-03
689,"3900 City Of Oaks Wynd, Raleigh, NC 27612","$1,495,000",4,5,"4,649",1,3900 City Of Oaks Wynd, Raleigh,NC 27612,NC,27612,2022-12-03
690,"736 Grove Ave, Raleigh, NC 27606","$699,900",4,3,"2,777",1,736 Grove Ave, Raleigh,NC 27606,NC,27606,2022-12-03
691,"12624 Birchfalls Dr, Raleigh, NC 27614","$849,900",4,3,"4,128",4,12624 Birchfalls Dr, Raleigh,NC 27614,NC,27614,2022-12-03
692,"1013 Collins Dr, Raleigh, NC 27609","$1,442,784",6,6,"5,182",7,1013 Collins Dr, Raleigh,NC 27609,NC,27609,2022-12-03
693,"6732 Greywalls Ln, Raleigh, NC 27614","$2,350,000",5,6,"7,367",1,6732 Greywalls Ln, Raleigh,NC 27614,NC,27614,2022-12-03
694,"1201 Graedon Dr, Raleigh, NC 27603","$950,000",5,5,"3,663",7,1201 Graedon Dr, Raleigh,NC 27603,NC,27603,2022-12-03
695,"7605 Falcon Rest Cir, Raleigh, NC 27615","$289,000",3,3,"1,339",3,7605 Falcon Rest Cir, Raleigh,NC 27615,NC,27615,2022-12-03
696,"3430 Van Hessen Dr, Raleigh, NC 27614","$399,900",3,3,"1,659",2,3430 Van Hessen Dr, Raleigh,NC 27614,NC,27614,2022-12-03
697,"1401 Sky Vista Way, Raleigh, NC 27613","$2,475,000",4,7,"5,514",9,1401 Sky Vista Way, Raleigh,NC 27613,NC,27613,2022-12-03
698,"11124 Slider Dr, Raleigh, NC 27614","$425,000",3,4,"2,516",1,11124 Slider Dr, Raleigh,NC 27614,NC,27614,2022-12-03
699,"407 Camden St, Raleigh, NC 27601","$783,900",3,3,"1,757",3,407 Camden St, Raleigh,NC 27601,NC,27601,2022-12-03
700,"6715 Johnsdale Rd, Raleigh, NC 27615","$1,300,000",4,5,"3,303",2,6715 Johnsdale Rd, Raleigh,NC 27615,NC,27615,2022-12-03
701,"4301 Pamlico Dr, Raleigh, NC 27609","$5,000,000",6,8,"5,896",9,4301 Pamlico Dr, Raleigh,NC 27609,NC,27609,2022-12-03
702,"3800 Stoneridge Forest Dr LOT 1, Raleigh, NC 27612","$1,389,000",6,6,"5,359",9,3800 Stoneridge Forest Dr LOT 1, Raleigh,NC 27612,NC,27612,2022-12-03
703,"8313 Rue Cassini Ct, Raleigh, NC 27615","$1,599,000",5,6,"6,994",1,8313 Rue Cassini Ct, Raleigh,NC 27615,NC,27615,2022-12-03
704,"3966 Massey Wood Trl, Raleigh, NC 27616","$450,000",3,3,"2,460",3,3966 Massey Wood Trl, Raleigh,NC 27616,NC,27616,2022-12-03
705,"5063 Futura Ln #144, Raleigh, NC 27610","$359,990",3,3,"1,867",9,5063 Futura Ln #144, Raleigh,NC 27610,NC,27610,2022-12-03
706,"2221 Flowing Dr, Raleigh, NC 27610","$440,000",4,3,"2,652",1,2221 Flowing Dr, Raleigh,NC 27610,NC,27610,2022-12-03
707,"7382 Fontana Ridge Ln, Raleigh, NC 27613","$599,900",3,3,"2,702",5,7382 Fontana Ridge Ln, Raleigh,NC 27613,NC,27613,2022-12-03
708,"2101 Oberlin Village Dr #105, Raleigh, NC 27605","$1,500,000",3,4,"2,709",9,2101 Oberlin Village Dr #105, Raleigh,NC 27605,NC,27605,2022-12-03
709,"6113 Dunzo Dr, Raleigh, NC 27617","$505,000",4,3,"2,775",4,6113 Dunzo Dr, Raleigh,NC 27617,NC,27617,2022-12-03
710,"613 Barksdale Dr, Raleigh, NC 27604","$575,000",4,2,"1,960",5,613 Barksdale Dr, Raleigh,NC 27604,NC,27604,2022-12-03
711,"5403 Big Bass Dr, Raleigh, NC 27610","$350,000",3,4,"2,271",2,5403 Big Bass Dr, Raleigh,NC 27610,NC,27610,2022-12-03
712,"3016 Plaza Pl, Raleigh, NC 27612","$774,900",4,3,"2,937",1,3016 Plaza Pl, Raleigh,NC 27612,NC,27612,2022-12-03
713,"3732 Cashew Dr, Raleigh, NC 27616","$399,000",3,3,"1,987",3,3732 Cashew Dr, Raleigh,NC 27616,NC,27616,2022-12-03
714,"7712 Harps Mill Rd, Raleigh, NC 27615","$4,200,000",6,8,"9,002",3,7712 Harps Mill Rd, Raleigh,NC 27615,NC,27615,2022-12-03
715,"4702 Stony Falls Way, Knightdale, NC 27545","$460,000",3,3,"2,672",1,4702 Stony Falls Way, Knightdale,NC 27545,NC,27545,2022-12-03
716,"1445 Sawyer Rd, Raleigh, NC 27610","$449,900",3,2,"1,600",3,1445 Sawyer Rd, Raleigh,NC 27610,NC,27610,2022-12-03
